Real Value Added by Industry
Real Value Added by Industry
"Last Revised on: April 9, 2026"
Line,,2023,2023,2023,2023,2024,2024,2024,2024,2025,2025,2025,2025
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
1,"        Gross domestic product",22439.6,22580.5,22841.0,23033.8,23082.1,23286.5,23478.6,23586.5,23548.2,23771.0,24026.8,24055.7
2,Private industries,19921.7,20058.6,20308.7,20479.3,20513.1,20708.7,20881.7,20973.4,20931.4,21173.6,21432.0,21516.4
3,"    Agriculture, forestry, fishing, and hunting",201.6,195.8,191.9,190.8,201.3,209.9,205.0,205.7,196.4,196.0,200.7,208.8
4,"        Farms",157.2,150.8,146.8,144.5,153.2,161.9,159.1,159.8,151.5,152.0,157.6,165.8
5,"        Forestry, fishing, and related activities",43.8,44.8,45.2,46.5,47.2,47.6,46.0,46.0,45.4,44.4,42.9,42.1
6,"    Mining",311.8,356.7,371.0,372.0,361.5,362.5,365.9,361.0,343.2,365.7,369.6,375.2
7,"        Oil and gas extraction",184.1,226.8,240.1,247.5,235.8,240.3,240.1,236.3,216.8,241.7,248.5,258.0
8,"        Mining, except oil and gas",52.6,52.5,54.0,52.8,51.6,50.0,51.1,50.8,50.3,51.4,52.3,50.1
9,"        Support activities for mining",85.1,89.2,88.1,81.8,85.3,84.0,86.9,85.8,88.1,84.6,79.7,81.2
10,"    Utilities",331.0,367.0,336.4,348.6,348.3,353.8,352.3,359.3,354.8,340.6,353.5,350.1
11,"    Construction",810.8,819.0,842.3,852.2,863.2,870.0,872.5,880.5,882.3,890.9,889.1,885.0
12,"    Manufacturing",2224.4,2263.3,2323.8,2356.6,2314.1,2368.9,2389.0,2373.4,2337.7,2405.0,2434.6,2408.6
13,"        Durable goods",1243.3,1262.5,1270.0,1281.6,1241.8,1259.2,1274.9,1265.5,1259.0,1286.0,1318.3,1319.6
14,"            Wood products",36.9,36.4,39.0,41.5,37.6,36.2,38.7,40.5,37.9,38.7,40.5,39.6
15,"            Nonmetallic mineral products",53.4,51.8,51.8,51.3,49.0,49.5,49.9,50.1,48.6,48.7,49.2,48.6
16,"            Primary metals",87.1,80.3,86.6,92.1,82.0,89.6,97.0,101.8,105.7,90.9,98.9,98.7
17,"            Fabricated metal products",125.9,121.1,121.8,123.3,118.4,117.8,116.9,118.9,115.3,115.7,120.3,124.9
18,"            Machinery",145.3,144.8,146.4,149.8,146.4,148.1,147.2,140.3,138.8,140.9,141.3,143.4
19,"            Computer and electronic products",284.3,289.1,288.8,289.9,286.3,287.1,289.2,286.1,288.5,300.2,300.9,299.7
20,"            Electrical equipment, appliances, and components",48.3,49.2,48.3,49.2,49.8,50.0,50.4,51.6,51.6,52.0,52.0,54.3
21,"            Motor vehicles, bodies and trailers, and parts",195.6,210.2,206.4,198.5,201.7,207.3,202.2,204.8,204.7,221.0,234.8,221.6
22,"            Other transportation equipment",164.1,181.0,179.6,182.2,168.2,177.2,187.0,174.7,179.2,188.4,195.8,197.2
23,"            Furniture and related products",24.3,23.7,23.8,23.7,23.8,23.8,23.5,23.4,23.2,23.4,23.2,23.1
24,"            Miscellaneous manufacturing",93.9,97.1,98.4,98.5,97.5,95.7,97.5,99.0,95.9,97.0,97.6,97.9
25,"        Nondurable goods",983.7,1003.1,1054.0,1074.7,1071.5,1108.6,1113.1,1107.0,1077.7,1118.1,1115.6,1088.8
26,"            Food and beverage and tobacco products",299.9,288.6,296.7,293.3,290.6,292.6,299.7,303.4,302.5,299.3,283.9,282.3
27,"            Textile mills and textile product mills",13.7,13.2,13.4,13.4,13.2,13.4,13.3,13.7,13.6,13.6,13.6,13.6
28,"            Apparel and leather and allied products",11.8,11.4,10.9,11.1,11.2,11.5,11.7,11.6,11.7,11.5,11.6,11.3
