Value Added by Industry
Value Added by Industry
"Last Revised on: April 9, 2026"
Line,,2023,2023,2023,2023,2024,2024,2024,2024,2025,2025,2025,2025
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
1,"        Gross domestic product",27216.4,27530.1,28074.8,28424.7,28708.2,29147.0,29511.7,29825.2,30042.1,30485.7,31098.0,31422.5
2,Private industries,24186.8,24462.4,24949.5,25252.4,25477.1,25871.3,26193.4,26464.8,26639.9,27051.6,27629.2,27939.6
3,"    Agriculture, forestry, fishing, and hunting",302.0,276.7,261.0,242.0,256.8,261.2,268.6,292.1,293.2,266.9,266.0,262.0
4,"        Farms",251.6,224.8,208.5,187.9,202.3,206.7,215.6,238.7,239.9,214.7,215.6,212.8
5,"        Forestry, fishing, and related activities",50.4,51.9,52.6,54.1,54.5,54.5,53.1,53.4,53.3,52.2,50.3,49.2
6,"    Mining",403.6,386.4,424.0,433.2,406.2,418.3,403.3,389.2,411.1,376.0,379.1,370.9
7,"        Oil and gas extraction",249.7,232.8,276.0,281.2,255.5,266.2,251.5,237.3,256.5,225.2,227.0,217.1
8,"        Mining, except oil and gas",80.9,79.0,78.8,80.4,80.4,80.0,81.2,81.5,83.2,86.2,88.2,89.2
9,"        Support activities for mining",72.9,74.6,69.3,71.7,70.3,72.0,70.6,70.4,71.4,64.6,63.9,64.6
10,"    Utilities",460.1,463.0,464.1,443.9,452.5,459.8,450.7,454.4,460.1,460.8,478.3,485.7
11,"    Construction",1186.0,1205.7,1237.4,1269.1,1287.5,1299.8,1312.2,1322.1,1336.3,1340.2,1344.1,1344.7
12,"    Manufacturing",2742.0,2766.4,2868.3,2889.3,2851.8,2884.7,2897.7,2888.7,2813.7,2859.7,2951.1,2961.4
13,"        Durable goods",1441.6,1483.1,1510.9,1534.6,1502.4,1523.3,1543.4,1530.2,1526.2,1534.3,1576.1,1588.7
14,"            Wood products",61.0,59.1,64.0,65.1,59.9,58.6,59.7,62.5,58.3,57.6,59.7,58.7
15,"            Nonmetallic mineral products",74.4,75.1,76.1,77.0,76.0,77.1,78.1,78.9,76.3,75.9,76.9,76.1
16,"            Primary metals",81.0,83.1,84.8,83.9,79.0,76.8,74.9,75.4,75.0,73.1,80.9,81.8
17,"            Fabricated metal products",185.9,182.2,189.1,194.5,188.1,188.7,191.5,193.9,188.7,186.4,194.7,201.7
18,"            Machinery",191.2,193.5,200.3,208.0,206.6,212.7,212.9,202.3,203.7,203.2,205.3,208.3
19,"            Computer and electronic products",288.0,293.4,295.6,298.1,297.0,298.8,302.0,301.4,305.0,317.4,322.5,327.1
20,"            Electrical equipment, appliances, and components",73.6,75.3,76.0,77.9,79.0,79.6,80.8,81.4,81.1,82.0,82.7,84.1
21,"            Motor vehicles, bodies and trailers, and parts",175.5,186.3,186.1,183.1,183.8,187.7,184.8,187.1,188.3,182.0,187.1,178.5
22,"            Other transportation equipment",173.9,193.6,194.6,201.2,186.2,197.0,209.6,196.5,201.1,206.8,214.5,218.6
23,"            Furniture and related products",33.8,33.5,33.6,33.8,34.2,34.6,34.6,34.5,34.5,34.5,34.7,34.5
24,"            Miscellaneous manufacturing",103.3,108.0,110.9,112.1,112.8,111.8,114.7,116.4,114.2,115.5,117.1,119.3
25,"        Nondurable goods",1300.4,1283.3,1357.3,1354.8,1349.4,1361.3,1354.3,1358.5,1287.5,1325.4,1374.9,1372.7
26,"            Food and beverage and tobacco products",338.8,338.1,350.7,359.8,360.4,357.0,360.6,362.8,346.5,353.3,353.8,364.3
27,"            Textile mills and textile product mills",16.3,15.9,16.4,16.3,16.2,16.3,16.2,16.5,16.4,16.4,16.6,16.8
