Value added by Industry as a Percentage of Gross Domestic Product
Value added by Industry as a Percentage of Gross Domestic Product
"Last Revised on: April 9, 2026"
Line,,2023,2023,2023,2023,2024,2024,2024,2024,2025,2025,2025,2025
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
1,"        Gross domestic product",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2,Private industries,88.9,88.9,88.9,88.8,88.7,88.8,88.8,88.7,88.7,88.7,88.8,88.9
3,"    Agriculture, forestry, fishing, and hunting",1.1,1.0,0.9,0.9,0.9,0.9,0.9,1.0,1.0,0.9,0.9,0.8
4,"        Farms",0.9,0.8,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.7
5,"        Forestry, fishing, and related activities",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
6,"    Mining",1.5,1.4,1.5,1.5,1.4,1.4,1.4,1.3,1.4,1.2,1.2,1.2
7,"        Oil and gas extraction",0.9,0.8,1.0,1.0,0.9,0.9,0.9,0.8,0.9,0.7,0.7,0.7
8,"        Mining, except oil and gas",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
9,"        Support activities for mining",0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
10,"    Utilities",1.7,1.7,1.7,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.5
11,"    Construction",4.4,4.4,4.4,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.3,4.3
12,"    Manufacturing",10.1,10.0,10.2,10.2,9.9,9.9,9.8,9.7,9.4,9.4,9.5,9.4
13,"        Durable goods",5.3,5.4,5.4,5.4,5.2,5.2,5.2,5.1,5.1,5.0,5.1,5.1
14,"            Wood products",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
15,"            Nonmetallic mineral products",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2
16,"            Primary metals",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3
17,"            Fabricated metal products",0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.7,0.6,0.6,0.6,0.6
18,"            Machinery",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
19,"            Computer and electronic products",1.1,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,"            Electrical equipment, appliances, and components",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
21,"            Motor vehicles, bodies and trailers, and parts",0.6,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
22,"            Other transportation equipment",0.6,0.7,0.7,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7
23,"            Furniture and related products",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
24,"            Miscellaneous manufacturing",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
25,"        Nondurable goods",4.8,4.7,4.8,4.8,4.7,4.7,4.6,4.6,4.3,4.3,4.4,4.4
26,"            Food and beverage and tobacco products",1.2,1.2,1.2,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.1,1.2
27,"            Textile mills and textile product mills",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
28,"            Apparel and leather and allied products",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
